Titlu,nume,judet,oras,adresa,longitudine,latitudine
B-Spitalul de Psihiatrie Dr. Constantin Gorgos,"Spitalul de Psihiatrie Titan ""Dr. Constantin Gorgos""",Bucuresti,Municipiul Bucuresti,"Bulevardul Nicolae Grigorescu 41, 030447 Bucuresti",26.1659947,44.4203575
B-SPITALUL UNIVERSITAR CF WITING,Spitalul Clinic Nr.1 CF Witting,Bucuresti,Municipiul Bucuresti,"Calea Plevnei 142-144, 010243 Bucuresti",26.0719457,44.4427565
B-SPITALUL UNIVERSITAR DE URGENTA,Spitalul Universitar de Urgenta Bucuresti,Bucuresti,Municipiul Bucuresti,"Splaiul Independentei 169, 050098 Bucuresti",26.0719734,44.4361236
B-SPITALUL UNIVERSITAR DE URGENTA ELIAS,Spitalul Universitar de Urgenta Elias,Bucuresti,Municipiul Bucuresti,"Bulevardul Marasti 17, 011461 Bucuresti",26.0737612,44.4662457
BC-CLINICA NEWMEDICS SRL- PUNCT DE LUCRU BACAU,Clinica NewMedics Bacau,Judetul Bacau,Municipiu Bacau,"Strada Banca Nationala 4, Bacau",26.9090782,46.5707487
BC-SC CARDIOMED SRL,Cardiomed,Judetul Bacau,Oras Targu Ocna,"Strada Slatineanu 3, 605600 Targu Ocna",26.614529,46.278546
BC-SC CIN MED SRL,Clinica Medicala Neacsu Ciprian Iulian,Judetul Bacau,Comuna Agas,"Str. Izlazului 101-103, 607008 Cotumba",26.1996521,46.5002771
BC-SC ELYTIS CARE SRL,Elytis Hospital Bacau,Judetul Bacau,Municipiu Bacau,"Strada Letea 17, 600122 Bacau",26.9212672,46.5427884
BC-SPINAL CARE DOBRECI SRL,Clinica Spinal Care Bacau,Judetul Bacau,Municipiu Bacau,"Str. Mihai Eminescu 1, 600258 Bacau",26.9031242,46.5668506
BC-SPITALUL DE PNEUMOFTIZIOLOGIE BACAU,Spitalul de Pneumoftiziologie,Judetul Bacau,Municipiu Bacau,"Strada Oituz 72, 600252 Bacau",26.8999675,46.5641567
BC-SPITALUL JUDETEAN DE URGENTA BACAU,Spitalul Judetean de Urgenta Bacau,Judetul Bacau,Municipiu Bacau,"Strada Spiru Haret 2-4, 600114 Bacau",26.9106189,46.5562244
BC-SPITALUL MUNICIPAL DE URGENTA MOINESTI,Spitalul Clinic Municipal de Urgenta Moinesti,Judetul Bacau,Municipiu Moinesti,"Strada Zorilor 1, 605400 Moinesti",26.4882886,46.4764311
BC-SPITALUL MUNICIPAL SF. IERARH DOCTOR LUCA ONESTI,"Spitalul Municipal ""Sf. Ierarh Dr. Luca"" Onesti",Judetul Bacau,Municipiu Onesti,"Strada Perchiului 1, 601048 Onesti",26.7649546,46.2536379
